date,price_usd_close,exchange_to_miner_flow_total,exchange_to_miner_transactions_count_flow,exchange_to_miner_flow_mean,miner_flow_outflow_total,miner_flow_outflow_top10,miner_flow_outflow_mean,miner_flow_outflow_mean_ma7,transactions_count_total,transactions_count_mean,hashrate,Exchange_flow_outflow_total,Exchange_flow_outflow_top10,Exchange_flow_outflow_mean,Exchange_flow_outflow_mean_ma7,block_count,block_bytes,miner_flow_transactions_count_inflow,miner_flow_transactions_count_outflow,difficulty,blockreward,blockreward_usd,Exchange_flow_inflow_total,Exchange_flow_inflow_top10,Exchange_flow_inflow_mean,Exchange_flow_inflow_mean_ma7,supply_total,supply_new,block_interval,exchange_to_exchange_flow_total,exchange_to_exchange_transactions_count_flow,exchange_to_exchange_flow_mean,Exchange_flow_reserve,Exchange_flow_reserve_usd,miner_flow_reserve,miner_flow_reserve_usd,miner_to_exchange_flow_total,miner_to_exchange_transactions_count_flow,miner_to_exchange_flow_mean,utxo_count,fees_transaction_mean,fees_transaction_mean_usd,fees_transaction_median,fees_transaction_median_usd,miner_flow_addresses_count_inflow,miner_flow_addresses_count_outflow,miner_flow_inflow_total,miner_flow_inflow_top10,miner_flow_inflow_mean,miner_flow_inflow_mean_ma7,Exchange_flow_addresses_count_inflow,Exchange_flow_addresses_count_outflow,Exchange_flow_transactions_count_inflow,Exchange_flow_transactions_count_outflow,fees_block_mean,fees_block_mean_usd,fees_total,fees_total_usd,fees_reward_percent,tokens_transferred_total,tokens_transferred_mean,tokens_transferred_median,velocity_supply_total,fund_flow_ratio,price_usd_high,price_usd_low,price_usd_open,average_cap,delta_cap,market_cap,realized_cap,thermo_cap,mvrv,stablecoin_supply_ratio,nvm,nvt,puell_index,stock_to_flow,stock_to_flow_reversion,exchange_whale_ratio_x
2/29/2020,8534.90,10.88740083,36,0.3024278,2877.650976,2760.623075,6.12266165,5.22856433,307388,2211.42446,1.0701E+11,4668.923536,2741.357865,0.67062964,2.365397087,139,989318.2158,2185,470,1.54869E+13,1756.003956,15265795.65,4987.95045,2784.382107,0.42559304,0.886731991,18244658.93,1737.5,619.9496403,64.07524412,14,4.57680315,1303404.555,11124424280,36768.68961,313816997,10.33572906,50,0.20671458,65981668,6.02E-05,0.52263626,2.87E-05,0.24981814,3113,2060,2381.836406,1486.897243,1.09008531,1.111364794,16290,13780,11720,6962,0.13312198,1155.770605,18.50395585,160652.1141,0.01053754,638188.2058,2.076165,0.02702159,26.53781527,0.0151317,8803.133333,8533.1925,8708.5275,33600220265,93233339819,1.55716E+11,1.26834E+11,17096106416,1.22772154,31.07401902,0.34325251,28.08296684,0.965303123,10500.52312,0.81280689,0.21033864
2/28/2020,8712.18,75.23599267,34,2.21282331,2381.245659,2165.993334,4.50140956,4.958576683,368432,2331.848101,1.21638E+11,23355.99167,12626.25241,3.35767563,2.371669743,158,1082665.158,2389,529,1.54869E+13,2001.282587,17407814.8,19681.81282,11218.55267,1.25313974,0.877745156,18242921.43,1975,561.2405063,67.32232655,20,3.36611633,1303085.528,11352709162,37264.50418,324654881.7,93.7991152,48,1.95414823,65901366,7.13E-05,0.61986947,3.36E-05,0.29279541,3209,2473,2694.950764,1635.249489,1.12806646,1.120015374,18708,19132,15706,6956,0.16634549,1445.441443,26.28258744,228379.748,0.01313287,1013389.883,2.75054795,0.03222689,26.58046487,0.04246915,8900.575,8443.062324,8819.577788,33570245775,93268941689,1.58936E+11,1.26839E+11,17080840621,1.25304748,31.74717911,0.24976211,18.0063919,1.102154743,9236.922242,0.94319025,0.16442791
2/27/2020,8816.42,4.76019395,35,0.13600554,2174.407792,2017.982015,4.32287831,5.280412291,339258,2307.877551,1.13169E+11,20345.26371,13181.75451,3.29638103,2.249481507,147,1103296.81,2335,503,1.54869E+13,1864.506034,16414100.65,16066.89725,9202.251569,1.09358135,0.835492316,18240946.43,1837.5,582.3401361,121.3169998,34,3.56814705,1306759.722,11520942550,36950.79907,325773764,22.3155563,51,0.43755993,65839844,7.96E-05,0.70166567,3.83E-05,0.33824214,3378,2582,2352.729051,1495.526814,1.00759274,1.101263301,17797,17070,14692,6172,0.18371452,1619.358448,27.00603399,238045.6919,0.01448428,988289.7727,2.91309202,0.03698769,26.61447809,0.03684361,8971.9225,8530.6,8788.375,33539466183,93314060632,1.6082E+11,1.26854E+11,17063432806,1.26776014,32.24302512,0.26825513,18.5077708,1.04106011,9927.045675,0.88812123,0.10817644
2/26/2020,8794.64,4.49438556,46,0.09770403,2733.726865,2521.475153,5.29792028,5.365794839,329831,2425.227941,1.04701E+11,24634.91463,12037.75384,3.33264538,2.344382457,136,1163531.007,2318,516,1.54869E+13,1729.299115,15592607.79,15816.32995,7762.159905,0.99423749,0.882857457,18239108.93,1700,630.1617647,132.585983,30,4.41953277,1311038.207,11530104196,36772.47781,323400567.9,20.93275541,56,0.3737992,65808781,8.88E-05,0.80038962,4.36E-05,0.39227447,3251,2232,2051.401609,1315.470717,0.88498775,1.153695656,18990,19546,15908,7392,0.21543467,1941.127269,29.29911468,263993.3086,0.01694277,878702.43,2.66409898,0.04178092,26.63846221,0.0460352,9373.635,8642.1,9314.1425,33508208722,93416804457,1.60406E+11,1.26925E+11,17047018705,1.26378816,32.13819845,0.26818155,20.2569278,0.990600812,10728.8876,0.81971558,0.11269135
2/25/2020,9315.45,191.4263685,45,4.2539193,2183.969153,1928.941619,4.22431171,5.516947761,334449,2322.5625,1.11288E+11,11209.60949,7751.144658,1.6119657,2.342328843,144,1064563.583,2260,517,1.55094E+13,1824.544829,17318002.44,11467.71513,6597.101767,0.79487871,0.935299564,18237408.93,1800,593.9444444,196.9888959,24,8.20787066,1319856.792,12295063249,37454.80307,348908438.9,15.01691759,56,0.26815924,65752130,7.34E-05,0.69507423,3.59E-05,0.33924905,3073,2236,2711.995576,1735.528335,1.19999804,1.198232764,17960,17999,14427,6954,0.1704502,1614.353333,24.54482939,232466.88,0.01345258,872757.4479,2.60953822,0.03078746,26.68638653,0.02598354,9675.96,9246.4275,9662.83,33477037482,93511741332,1.6989E+11,1.26989E+11,17031426097,1.33783251,34.02135394,0.31295593,20.5539993,1.101700081,10131.89385,0.91941868,0.19575324
2/24/2020,9663.41,168.5394537,36,4.68165149,3073.761374,2954.449078,6.39035629,5.50753706,328749,2331.553191,1.08969E+11,16633.68917,10394.7767,2.77413095,2.566085151,141,1141280.163,2209,481,1.55467E+13,1785.424263,17360384.58,15708.33791,9005.813151,1.10645474,0.995772314,18235608.93,1762.5,622.7163121,84.54978856,23,3.67607776,1319598.686,12751823142,36926.77665,356838582.7,11.72617848,65,0.18040275,65678517,6.97E-05,0.6775589,3.21E-05,0.3127557,3229,2368,2990.528208,1952.471363,1.35379276,1.188815319,17207,17602,14197,5996,0.16258342,1579.764618,22.9242627,222746.8112,0.01283967,812451.0273,2.47134144,0.03152295,26.72431258,0.03980797,10016.2,9483.35,9964.975,33443520853,93388940973,1.76218E+11,1.26832E+11,17014108095,1.38937748,35.325089,0.30566734,22.28253539,1.106388927,10346.44478,0.93398362,0.15493066
2/23/2020,9963.63,23.36067366,37,0.63136956,2565.964393,2415.514334,5.74041251,5.467365937,285437,2010.119718,1.09742E+11,8145.695523,5488.998211,1.51435128,2.438715297,142,909322.8873,1971,447,1.55467E+13,1791.620738,17682559.13,6034.622186,3957.046145,0.53923887,0.956346344,18233846.43,1775,598.7323944,125.6709316,24,5.23628882,1320524.038,13157212917,37010.00981,368754044.1,15.27179866,70,0.21816855,65670114,5.82E-05,0.57477231,2.61E-05,0.25789472,3177,2345,2197.725124,1302.97579,1.1150305,1.184290226,15116,15463,11191,5379,0.11704745,1155.361154,16.62073804,164061.2839,0.00927693,667107.6186,2.33714486,0.01897341,26.73696399,0.02125642,10009.665,9659.163333,9660.693333,33408432466,93379463338,1.81675E+11,1.26788E+11,16996747710,1.43290728,36.41760673,0.49052753,27.60783919,1.128956554,10272.58954,0.96992389,0.18907574
2/22/2020,9660.78,196.9030951,35,5.62580272,1913.20215,1837.212809,4.23274812,5.523038157,304444,2057.054054,1.14379E+11,4779.546195,3570.358935,0.71453823,2.470394841,148,944370.2297,2186,452,1.55467E+13,1868.323615,18034635.71,4019.277257,2915.386806,0.36268519,0.980174817,18232071.43,1850,590.1486487,49.14388187,25,1.96575527,1322635.111,12777691236,37378.24908,361103165.7,11.14462743,54,0.20638199,65629896,6.02E-05,0.58104145,2.88E-05,0.27727006,3068,2868,2515.297657,1618.387209,1.15063937,1.208274079,15777,15906,11082,6689,0.12380821,1195.233668,18.32361539,176894.5829,0.00980752,576481.6197,1.89355553,0.02060483,26.75517782,0.01526297,9714.5425,9570.1925,9688.536667,33371985351,93338346521,1.76136E+11,1.2671E+11,16979065151,1.3900689,35.4429548,0.38416209,31.64553766,1.153538446,9855.173745,0.98027529,0.24430968
2/21/2020,9688.74,112.69636,42,2.68324667,2803.017409,2714.88523,6.75425882,5.849668019,338330,2196.948052,1.19016E+11,16595.63815,11235.63971,2.50235798,2.581452933,154,1067097.604,2383,415,1.55467E+13,1948.544495,18875990.68,14102.05808,8422.150914,0.95736986,1.021189514,18230221.43,1925,558.2077922,212.9472802,40,5.32368201,1323395.38,12822029341,36776.15357,356314467.6,17.86179409,49,0.36452641,65533766,6.96E-05,0.67421395,3.30E-05,0.31983165,3443,2511,2375.379038,1461.922917,0.99680195,1.22499891,17994,17003,14730,6632,0.15288633,1481.213033,23.54449483,228106.8071,0.01208312,824616.7315,2.43731484,0.02842893,26.80240974,0.03722662,9761.286899,9561.6975,9606.24,33336882300,93339286112,1.76628E+11,1.26676E+11,16961030516,1.39432552,35.42160193,0.29730381,22.11402489,1.209440666,9470.244897,1.0230714,0.15995872
2/20/2020,9607.71,342.631791,48,7.13816231,2278.217492,2126.535746,4.92055614,5.846682003,316500,2511.904762,97376948407,26164.30283,12418.52686,3.96068768,2.495775387,126,1248826.5,2300,463,1.55467E+13,1602.796663,15362845.96,21496.77165,10733.45182,1.42513734,1.05687667,18228296.43,1575,684.1507937,131.2070802,31,4.23248646,1325888.96,12738749995,37203.79194,357443057.9,10.63819302,59,0.18030836,65508138,8.78E-05,0.8413827,4.08E-05,0.39101123,3238,1718,3161.624211,2364.6505,1.37461922,1.327017911,18193,17149,15084,6606,0.22060843,2113.473221,27.79666259,266297.6258,0.0173426,1042396.927,3.2935132,0.0369258,26.81937415,0.04572258,9700.475,9384.4825,9593.6575,33301641048,93323763089,1.75132E+11,1.26625E+11,16942154525,1.38307235,35.32005401,0.29795527,17.53393172,0.986571193,11573.52154,0.83014534,0.17761168
