date,price_usd_open,price_usd_high,price_usd_low,price_usd_close
12/31/2020,0,0,0,0
12/30/2020,0,0,0,0
12/29/2020,0,0,0,0
12/28/2020,0,0,0,0
12/27/2020,0,0,0,0
12/26/2020,0,0,0,0
12/25/2020,0,0,0,0
12/24/2020,0,0,0,0
12/23/2020,0,0,0,0
12/22/2020,0,0,0,0
12/21/2020,0,0,0,0
12/20/2020,0,0,0,0
12/19/2020,0,0,0,0
12/18/2020,0,0,0,0
12/17/2020,0,0,0,0
12/16/2020,0,0,0,0
12/15/2020,0,0,0,0
12/14/2020,0,0,0,0
12/13/2020,0,0,0,0
12/12/2020,0,0,0,0
12/11/2020,0,0,0,0
12/10/2020,0,0,0,0
12/09/2020,0,0,0,0
12/08/2020,0,0,0,0
12/07/2020,0,0,0,0
12/06/2020,0,0,0,0
12/05/2020,0,0,0,0
12/04/2020,0,0,0,0
12/03/2020,0,0,0,0
12/02/2020,0,0,0,0
12/01/2020,0,0,0,0
11/30/2020,0,0,0,0
11/29/2020,0,0,0,0
11/28/2020,0,0,0,0
11/27/2020,0,0,0,0
11/26/2020,0,0,0,0
11/25/2020,0,0,0,0
11/24/2020,0,0,0,0
11/23/2020,0,0,0,0
11/22/2020,0,0,0,0
11/21/2020,0,0,0,0
11/20/2020,0,0,0,0
11/19/2020,0,0,0,0
11/18/2020,0,0,0,0
11/17/2020,0,0,0,0
11/16/2020,0,0,0,0
11/15/2020,0,0,0,0
11/14/2020,0,0,0,0
11/13/2020,0,0,0,0
11/12/2020,0,0,0,0
11/11/2020,0,0,0,0
11/10/2020,0,0,0,0
11/09/2020,0,0,0,0
11/08/2020,0,0,0,0
11/07/2020,0,0,0,0
11/06/2020,0,0,0,0
11/05/2020,0,0,0,0
11/04/2020,0,0,0,0
11/03/2020,0,0,0,0
11/02/2020,0,0,0,0
11/01/2020,0,0,0,0
10/31/2020,0,0,0,0
10/30/2020,0,0,0,0
10/29/2020,0,0,0,0
10/28/2020,0,0,0,0
10/27/2020,0,0,0,0
10/26/2020,0,0,0,0
10/25/2020,0,0,0,0
10/24/2020,0,0,0,0
10/23/2020,0,0,0,0
10/22/2020,0,0,0,0
10/21/2020,0,0,0,0
10/20/2020,0,0,0,0
10/19/2020,0,0,0,0
10/18/2020,0,0,0,0
10/17/2020,0,0,0,0
10/16/2020,0,0,0,0
10/15/2020,0,0,0,0
10/14/2020,0,0,0,0
10/13/2020,0,0,0,0
10/12/2020,0,0,0,0
10/11/2020,0,0,0,0
10/10/2020,0,0,0,0
10/09/2020,0,0,0,0
10/08/2020,0,0,0,0
10/07/2020,0,0,0,0
10/06/2020,0,0,0,0
10/05/2020,0,0,0,0
10/04/2020,10523,10694,10523,10664
10/03/2020,10567,10591.67237,10504,10540
10/02/2020,10601,10660,10398,10571
10/01/2020,10789,10910,10471,10601
09/30/2020,10847,10847,10665,10780
09/29/2020,10683,10861,10643,10840
09/28/2020,10870,10945,10688,10666
09/27/2020,10733,10796,10604,10781
09/26/2020,10691,10793,10650,10733
09/25/2020,10733,10756,10557,10691
09/24/2020,10230,10779,10206,10733
09/23/2020,10523,10542.50091,10159,10233
09/22/2020,10398,10571,10362,10530
09/21/2020,10920,10986.91727,10352,10415
09/20/2020,11078,11078,10778,10920
09/19/2020,10919,11157,10897,11078
09/18/2020,10944,11028,10823,10919
09/17/2020,10944,11039,10759,10939
09/16/2020,10782,11085,10668,10952
09/15/2020,10682,10926,10631,10782
09/14/2020,10326,10740,10244,10653
09/13/2020,10431,10569,10215,10321
09/12/2020,10393,10473,10271,10439
09/11/2020,10359,10396,10127.55,10390
09/10/2020,10226,10471,9996.1,10346
09/09/2020,10125,10337,9986,10216
09/08/2020,10392,10429,9890.1,10120
09/07/2020,10259,10400,9885,10380
09/06/2020,10137,10340,10003,10250
09/05/2020,10448,10554,9895.6,10160
09/04/2020,10205,10618,10059,10448
09/03/2020,11365,11437,10120,10137
09/02/2020,11924,11947,11229,11372
09/01/2020,11650.71164,12039,11548.25168,11908
08/31/2020,11690.50636,11742.14267,11578.54273,11642.77918
08/30/2020,11471.59539,11695.82333,11470.031,11691.25909
08/29/2020,11473.99091,11539.6646,11386.95636,11473.14909
08/28/2020,11314.26085,11479.61997,11266.109,11470.2483
08/27/2020,11459.42273,11564.10364,11147.73727,11304.64369
08/26/2020,11295.27909,11522.49636,11240.72818,11461.83273
